;ID;Trial;Time;Montage;Dose;Groups;Lag;Side;Entropy;Replica;Teste
178;CFAM;19;86.5;2;3;SHAM-AC;12;R;0.07336989;3;AN
179;CFAM;20;94.0;2;0;SHAM-AC;15;R;0.04786421;0;
180;CFB;1;2.0;0;0;baseline;12;R;0.05897949;0;
181;CFB;2;4.0;0;0;AC;11;R;0.05402815;0;
182;CFB;3;6.5;0;2;AC;10;R;0.0767527;1;
183;CFB;4;14.0;0;0;AC;20;R;0.02213591;0;
184;CFB;5;16.5;0;2;AC;13;R;0.03470716;1;
185;CFB;6;24.0;0;0;AC;11;R;0.04905932;0;
186;CFB;7;26.5;0;2;AC;11;R;0.04963759;1;
187;CFB;8;34.0;0;0;AC;11;R;0.04150839;0;
188;CFB;9;36.5;0;3;AC;12;R;0.0600716;2;
189;CFB;10;44.0;0;0;AC;20;R;0.02791617;0;
190;CFB;11;46.5;0;3;AC;9;R;0.05018535;2;
191;CFB;12;54.0;0;0;AC;9;R;0.02901056;0;
192;CFB;13;56.5;0;3;AC;10;R;0.06019313;2;
193;CFB;14;64.0;0;0;AC;12;R;0.05460707;0;
194;CFB;15;66.5;0;1;AC;11;R;0.08187296;3;
195;CFB;16;74.0;0;0;AC;13;R;0.03638824;0;
196;CFB;17;76.5;0;1;AC;11;R;0.06287634;3;
197;CFB;18;84.0;0;0;AC;9;R;0.04729845;0;
198;CFB;19;86.5;0;1;AC;12;R;0.05800935;3;
199;CFB;20;94.0;0;0;AC;13;R;0.05246489;0;
200;CFB;1;2.0;1;0;baseline;10;R;0.06347533;0;
201;CFB;2;4.0;1;0;CC;20;R;0.02703739;0;
202;CFB;3;6.5;1;3;CC;20;R;0.0242564;1;
203;CFB;4;14.0;1;0;CC;20;R;0.02805725;0;
204;CFB;5;16.5;1;3;CC;20;R;0.02507019;1;
205;CFB;6;24.0;1;0;CC;13;R;0.05591873;0;
206;CFB;7;26.5;1;3;CC;20;R;0.02329086;1;
207;CFB;8;34.0;1;0;CC;20;R;0.02846559;0;
208;CFB;9;36.5;1;1;CC;20;R;0.03620028;2;
209;CFB;10;44.0;1;0;CC;8;R;0.05210545;0;
210;CFB;11;46.5;1;1;CC;20;R;0.0215746;2;
211;CFB;12;54.0;1;0;CC;20;R;0.03873711;0;
212;CFB;13;56.5;1;1;CC;9;R;0.02950579;2;
213;CFB;14;64.0;1;0;CC;20;R;0.02489644;0;
214;CFB;15;66.5;1;2;CC;20;R;0.03694066;3;
215;CFB;16;74.0;1;0;CC;11;R;0.05278969;0;
216;CFB;17;76.5;1;2;CC;20;R;0.03089013;3;
217;CFB;18;84.0;1;0;CC;12;R;0.03813798;0;
218;CFB;19;86.5;1;2;CC;20;R;0.03115554;3;
219;CFB;20;94.0;1;0;CC;9;R;0.04814171;0;
220;CFB;1;2.0;2;0;baseline;14;R;0.03775527;0;
221;CFB;2;4.0;2;0;SHAM-CC;20;R;0.03821842;0;
222;CFB;3;6.5;2;1;SHAM-CC;17;R;0.01626088;1;CC
223;CFB;4;14.0;2;0;SHAM-CC;20;R;0.02706461;0;
224;CFB;5;16.5;2;1;SHAM-CC;19;R;0.02306927;1;CC
225;CFB;6;24.0;2;0;SHAM-CC;11;R;0.04863585;0;
226;CFB;7;26.5;2;1;SHAM-CC;20;R;0.02017675;1;CC
227;CFB;8;34.0;2;0;SHAM-CC;11;R;0.04118433;0;
228;CFB;9;36.5;2;2;SHAM-CC;20;R;0.0305975;2;CC
229;CFB;10;44.0;2;0;SHAM-CC;13;R;0.03394868;0;
230;CFB;11;46.5;2;2;SHAM-CC;20;R;0.02853264;2;CC
231;CFB;12;54.0;2;0;SHAM-CC;10;R;0.04261538;0;
232;CFB;13;56.5;2;2;SHAM-CC;20;R;0.01916061;2;CC
233;CFB;14;64.0;2;0;SHAM-CC;11;R;0.05131154;0;
234;CFB;15;66.5;2;3;SHAM-CC;20;R;0.02021681;3;CC
235;CFB;16;74.0;2;0;SHAM-CC;11;R;0.0398844;0;
236;CFB;17;76.5;2;3;SHAM-CC;18;R;0.02083533;3;CC
237;CFB;18;84.0;2;0;SHAM-CC;20;R;0.0275474;0;
238;CFB;19;86.5;2;3;SHAM-CC;16;R;0.007485129;3;CC
239;CFB;20;94.0;2;0;SHAM-CC;8;R;0.03418004;0;
240;DLSC;1;2.0;0;0;baseline;11;R;0.0642341;0;
241;DLSC;2;4.0;0;0;AC;20;R;0.05929338;0;
